variable,domain,question,overall_pct,house_expected_yes,house_sigma,house_prob_pass,house_verdict,senate_cond_expected_yes,senate_cond_sigma,senate_cond_prob_pass,senate_cond_verdict,senate_irv_expected_yes,senate_irv_sigma,senate_irv_prob_pass,senate_irv_verdict,senate_cond_pure_expected_yes,senate_cond_pure_sigma,senate_cond_pure_prob_pass,senate_cond_pure_verdict,senate_irv_pure_expected_yes,senate_irv_pure_sigma,senate_irv_pure_prob_pass,senate_irv_pure_verdict,pres_mixed_support_pct,pres_mixed_signs,pres_pure_support_pct,pres_pure_signs,law_cond_mixed,law_irv_mixed,law_cond_pure,law_irv_pure
CC24_321c,Police & Guns,Require background checks on all gun sales,92.5023,806.75,7.56,1.0,PASS,47.37,1.81,1.0,PASS,47.83,1.7,1.0,PASS,48.72,1.47,1.0,PASS,49.19,1.31,1.0,PASS,95.87,SIGN,88.79,SIGN,True,True,True,True
CC24_321d,Police & Guns,Increase police by 10%,56.7169,450.99,12.23,0.8819,PASS,27.11,3.26,0.6891,PASS,28.51,3.14,0.8311,PASS,31.42,2.95,0.9774,PASS,31.74,2.54,0.9929,PASS,69.3,SIGN,34.96,VETO,True,True,False,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",26.7993,237.05,11.91,0.0,FAIL,13.55,3.05,0.0,FAIL,12.86,2.95,0.0,FAIL,10.78,2.72,0.0,FAIL,11.38,2.65,0.0,FAIL,18.64,VETO,39.14,VETO,False,False,False,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,86.4629,758.04,9.43,1.0,PASS,44.86,2.28,1.0,PASS,45.32,2.2,1.0,PASS,46.47,2.01,1.0,PASS,46.97,1.89,1.0,PASS,90.73,SIGN,85.85,SIGN,True,True,True,True
CC24_324b,Abortion,Permit abortion only in rape/incest/life danger cases,51.3964,459.36,13.81,0.9511,PASS,28.13,3.48,0.7754,PASS,27.53,3.45,0.7224,PASS,29.39,3.36,0.8765,PASS,26.27,3.26,0.5932,TOSS-UP,56.73,SIGN,56.8,SIGN,True,True,True,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),63.0207,539.5,13.31,1.0,PASS,31.06,3.4,0.949,PASS,32.11,3.32,0.9766,PASS,31.52,3.31,0.9655,PASS,34.51,3.08,0.9983,PASS,63.87,SIGN,53.18,SIGN,True,True,True,True
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,41.2474,362.53,13.27,0.0,FAIL,21.76,3.43,0.1374,FAIL,21.32,3.35,0.1062,FAIL,23.42,3.35,0.2672,FAIL,20.35,3.11,0.0487,FAIL,45.48,VETO,39.0,VETO,False,False,False,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,18.4855,172.23,11.38,0.0,FAIL,10.61,2.87,0.0,FAIL,9.93,2.79,0.0,FAIL,11.03,2.87,0.0,FAIL,8.63,2.57,0.0,FAIL,19.03,VETO,25.61,VETO,False,False,False,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,66.0666,572.48,12.26,1.0,PASS,33.31,3.23,0.9922,PASS,34.62,3.1,0.9984,PASS,33.91,3.05,0.9971,PASS,37.37,2.67,1.0,PASS,69.27,SIGN,54.3,SIGN,True,True,True,True
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,55.4871,469.18,14.19,0.9894,PASS,27.05,3.5,0.6711,PASS,27.92,3.47,0.757,PASS,29.96,3.42,0.9038,PASS,30.04,3.38,0.9102,PASS,60.65,SIGN,40.71,VETO,True,True,False,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,34.0178,306.43,13.77,0.0,FAIL,18.55,3.41,0.0207,FAIL,19.12,3.44,0.0316,FAIL,21.51,3.51,0.1276,FAIL,20.98,3.48,0.097,FAIL,41.26,VETO,30.3,VETO,False,False,False,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,60.1484,536.27,13.38,1.0,PASS,32.28,3.38,0.9775,PASS,31.77,3.36,0.9691,PASS,33.42,3.27,0.9923,PASS,30.38,3.24,0.9336,PASS,65.12,SIGN,60.14,SIGN,True,True,True,True
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,62.7367,559.91,12.67,1.0,PASS,33.59,3.28,0.9932,PASS,33.02,3.24,0.9898,PASS,34.56,3.13,0.9981,PASS,31.56,3.08,0.9756,PASS,67.7,SIGN,63.6,SIGN,True,True,True,True
CC24_444e,Civil Liberties,Age verification for adult web content,78.7779,689.77,11.86,1.0,PASS,40.86,2.84,1.0,PASS,40.96,2.82,1.0,PASS,41.72,2.73,1.0,PASS,41.1,2.77,1.0,PASS,82.65,SIGN,77.6,SIGN,True,True,True,True
CC24_444f,Civil Liberties,School voucher subsidies,56.1512,499.34,13.79,1.0,PASS,30.19,3.46,0.9124,PASS,29.41,3.44,0.8717,PASS,30.42,3.41,0.9258,PASS,27.24,3.34,0.699,PASS,58.92,SIGN,61.41,SIGN,True,True,True,True
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,62.3942,552.98,12.17,1.0,PASS,32.55,3.26,0.9846,PASS,32.95,3.14,0.9912,PASS,33.65,3.12,0.9955,PASS,34.47,2.83,0.9992,PASS,61.3,SIGN,67.23,SIGN,True,True,True,True
CC24_326b,Environment & Climate,Require 20% renewable electricity,66.1221,593.08,12.0,1.0,PASS,35.24,3.15,0.999,PASS,35.27,3.05,0.9993,PASS,35.53,3.05,0.9995,PASS,35.93,2.83,0.9999,PASS,64.92,SIGN,76.54,SIGN,True,True,True,True
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,486.0,12.75,0.9999,PASS,28.15,3.4,0.7824,PASS,28.43,3.3,0.813,PASS,28.04,3.31,0.7787,PASS,29.59,3.02,0.9123,PASS,50.78,SIGN,62.63,SIGN,True,True,True,True
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,56.953,494.68,12.94,1.0,PASS,29.5,3.38,0.8813,PASS,29.37,3.3,0.8796,PASS,31.69,3.17,0.9745,PASS,29.02,3.01,0.8789,PASS,63.38,SIGN,50.03,SIGN,True,True,True,True
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,44.7229,392.95,13.09,0.0004,FAIL,22.63,3.42,0.2002,FAIL,22.85,3.34,0.213,FAIL,22.05,3.31,0.1484,FAIL,23.66,3.12,0.2769,FAIL,40.1,VETO,50.8,SIGN,False,False,False,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,67.4904,590.24,13.5,1.0,PASS,34.63,3.31,0.9971,PASS,34.75,3.29,0.9975,PASS,35.46,3.25,0.9989,PASS,34.65,3.26,0.9975,PASS,70.8,SIGN,62.14,SIGN,True,True,True,True
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,50.2392,439.36,14.58,0.5778,TOSS-UP,25.51,3.56,0.5008,TOSS-UP,25.51,3.55,0.5015,TOSS-UP,25.75,3.55,0.5278,TOSS-UP,25.91,3.52,0.5464,TOSS-UP,47.66,VETO,54.37,SIGN,False,False,False,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,72.447,641.64,12.21,1.0,PASS,37.74,3.07,1.0,PASS,37.84,3.02,1.0,PASS,38.01,3.02,1.0,PASS,38.59,2.89,1.0,PASS,71.72,SIGN,78.96,SIGN,True,True,True,True
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,53.2651,463.12,14.31,0.9686,PASS,27.69,3.52,0.7326,PASS,27.82,3.5,0.7458,PASS,28.75,3.48,0.8251,PASS,27.91,3.42,0.7595,PASS,58.39,SIGN,49.35,VETO,True,True,False,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,38.4834,331.58,12.5,0.0,FAIL,19.45,3.32,0.0342,FAIL,19.03,3.21,0.0219,FAIL,19.13,3.21,0.0237,FAIL,17.68,2.91,0.0036,FAIL,41.16,VETO,33.49,VETO,False,False,False,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),78.6882,700.68,11.06,1.0,PASS,41.31,2.75,1.0,PASS,41.32,2.71,1.0,PASS,41.34,2.71,1.0,PASS,41.79,2.59,1.0,PASS,78.91,SIGN,84.29,SIGN,True,True,True,True
