variable_name,question_label,survey_wave,n_valid,pct_missing,weighted_variance,modal_share_pct,partyID_r2,ideology_r2,final_action,drop_reason
CC24_321e,Oppose decrease police by 10% [rev],pre,59991,0.0,0.1953,73.4,0.1064,0.159,KEEP,
CC24_325,Abortion weeks limit reversed (40-weeks; high=restrictive),pre,57958,3.4,149.9186,11.2,0.2353,0.2996,KEEP,
CC24_324b,Support permit abortion only rape/incest/life danger,pre,59969,0.1,0.2496,52.0,0.0963,0.1088,KEEP,
CC24_324c,Support make abortion illegal ALL circumstances [floor],pre,59964,0.1,0.1106,87.3,0.0322,0.0574,DROP,Floor effect: 89% Oppose making abortion illegal in all circumstances
CC24_324d,Oppose expand abortion access [rev],pre,59964,0.1,0.2412,59.4,0.3183,0.3248,DROP,Redundant with retained CC24_325 (polychoric r=0.71)
CC24_340a,Oppose prohibit contraceptive restrictions [rev],pre,59846,0.3,0.2058,71.0,0.0278,0.0459,KEEP,
CC24_340b,Oppose prohibit abortion service restrictions [rev],pre,59791,0.3,0.2352,62.2,0.1055,0.1288,KEEP,
CC24_340c,Oppose require same-sex marriage recognition [rev],pre,59688,0.5,0.2305,64.0,0.193,0.2368,KEEP,
CC24_340e,Support renew post-9/11 surveillance programs,pre,59776,0.4,0.2266,65.3,0.0002,0.0006,KEEP,
CC24_340f,Support deny asylum at border,pre,59812,0.3,0.2325,63.2,0.2152,0.2458,KEEP,
CC24_440a,Disagree: white people have advantages [high=conservative],post,49270,17.9,2.1805,27.3,0.3676,0.3503,DROP,Most partisan racial item (PID R²=0.37); polychoric r=0.66 with retained CC24_440b (below 0.70 threshold)
CC24_440b,Agree: racial problems are rare/isolated,post,48836,18.6,1.7286,28.1,0.2411,0.2463,KEEP,
CC24_440c,Agree: women seek to gain power over men,post,49253,17.9,1.6268,33.1,0.1643,0.1802,KEEP,
CC24_440d,Agree: women are too easily offended,post,49267,17.9,1.8476,25.5,0.2514,0.2642,DROP,Redundant with retained CC24_440c (polychoric r=0.75)
CC24_441a,Agree: Blacks should work up like other minorities,post,49430,17.6,2.0993,28.6,0.3275,0.355,DROP,Thins the racial-resentment cluster (polychoric ~0.77 within it: 440a/441b); max only ~0.64 vs any retained item; retained anchors are 440b/440c
CC24_441b,Disagree: slavery created conditions [high=conservative],post,49428,17.6,2.2503,24.1,0.3507,0.359,DROP,Thins the racial-resentment cluster (polychoric ~0.77 within it: 440a/441a); max only ~0.64 vs any retained item; retained anchors are 440b/440c
CC24_420_1,Mil. intervention: ensure oil supply [binary],post,49432,17.6,0.1609,79.9,0.0408,0.0394,DROP,Compositional/check-all-that-apply: mutual exclusivity creates structurally invalid polychoric correlations
CC24_420_2,Mil. intervention: destroy terrorist camp [binary],post,49432,17.6,0.2474,55.1,0.0282,0.0374,DROP,Compositional/check-all-that-apply: mutual exclusivity creates structurally invalid polychoric correlations
CC24_420_3,Mil. intervention: genocide/civil war [binary],post,49432,17.6,0.2305,64.0,0.0328,0.0412,DROP,Compositional/check-all-that-apply: mutual exclusivity creates structurally invalid polychoric correlations
CC24_420_4,Mil. intervention: spread democracy [binary],post,49432,17.6,0.1395,83.2,0.013,0.0041,DROP,Compositional/check-all-that-apply: mutual exclusivity creates structurally invalid polychoric correlations
CC24_420_5,Mil. intervention: protect allies [binary],post,49432,17.6,0.2174,68.1,0.0014,0.0008,DROP,Compositional/check-all-that-apply: mutual exclusivity creates structurally invalid polychoric correlations
CC24_420_6,Mil. intervention: UN/intl law [binary],post,49432,17.6,0.2448,57.2,0.0958,0.1054,DROP,Compositional/check-all-that-apply: mutual exclusivity creates structurally invalid polychoric correlations
CC24_420_7,Mil. intervention: NONE/isolationist [exclusive-none],post,49432,17.6,0.1157,86.6,0.0002,0.0004,DROP,Compositional exclusive-none: near-perfect artificial negative correlations with items 1-6
CC24_421_1,Disagree: U.S. elections are fair [high=distrust],post,49429,17.6,1.3189,38.1,0.0182,0.0118,KEEP,
CC24_421_2,Disagree: state/local election in 2024 was fair [high=distrust],post,49430,17.6,1.081,45.8,0.012,0.0127,KEEP,
CC24_423,Low trust: federal government [4-pt; high=less trust],post,49347,17.8,0.6182,47.2,0.0265,0.0154,KEEP,
CC24_424,Low trust: state government [4-pt; high=less trust],post,49340,17.8,0.771,42.5,0.0072,0.0032,KEEP,
CC24_312a,Approve Biden [partisan proxy],pre,58405,2.7,1.3453,47.2,0.5682,0.3558,DROP,Partisan proxy: Biden approval (PID R²=0.568); r=0.977 with CC24_312i
CC24_312b,Approve U.S. Congress [11.9% Not sure],pre,52863,11.9,0.6448,43.3,0.0007,0.0008,DROP,"Dropped by user: 11.9% missing (4,947 ""Not sure"" post-completers drag down N)"
CC24_312c,Approve U.S. Supreme Court,pre,54121,9.8,1.1288,37.7,0.2787,0.2873,DROP,"Dropped by user: SCOTUS approval loaded on partisan axis, not cross-cutting"
CC24_312d,Approve Governor [direction varies by state],pre,55126,8.1,1.2897,31.6,0.0084,0.004,DROP,Direction inconsistent: partisan valence varies by state governor party
CC24_312e,Approve State legislature [direction varies by state],pre,47684,20.5,0.9806,39.8,0.0003,0.0003,DROP,Direction inconsistent: partisan valence varies by state legislature; 20.5% missing
CC24_312f,Approve House rep [direction varies; 30% Not sure],pre,42163,29.7,1.2687,33.1,0.0004,0.0026,DROP,Direction inconsistent: direction varies by rep; 29.7% Not sure → NaN
CC24_312g,Approve Senator 1 [direction varies; 22% Not sure],pre,46531,22.4,1.3151,32.2,0.0305,0.0183,DROP,Direction inconsistent: direction varies by senator; 22.4% Not sure → NaN
CC24_312h,Approve Senator 2 [direction varies; 25% Not sure],pre,45021,25.0,1.4098,34.0,0.0034,0.0016,DROP,Direction inconsistent: direction varies by senator; 25.0% Not sure → NaN
CC24_312i,Approve Harris [partisan proxy],pre,57352,4.4,1.5635,46.3,0.6296,0.4063,DROP,Partisan proxy: Harris approval (PID R²=0.630); r=0.977 with CC24_312a
